title,paragraph
Gustave Charpentier,"Gustave Charpentier (French: [ɡystav ʃaʁpɑ̃tje]; 25 June 1860 – 18 February 1956) was a French composer, best known for his opera Louise.[1]"
Francis Chassaigne,"Francis Chassaigne (also known as Francisque Chassaigne)  (30 October 1847 – 21 December 1922)[1] was a Belgian-born French composer of operettas, songs, and numerous pieces of dance music for piano. The English-language versions of his operettas, Le droit d'aînesse (1883) and  Les noces improvisées (1886) became very popular in Britain and the United States. Chassaigne was married to the Swiss-born operetta singer Louise Roland."
Maria Chefaliady-Taban,"Maria Chefaliady-Taban (4 November 1863 – 11 June 1932) was a Romanian pianist, music educator and composer. She was born in Iaşi and studied at the Iaşi Conservatory with Anetta Boscoff. She continued her studies from 1883-85 in Vienna with Joseph Dachs and Joseph Hellmesberger  at the Akademie fur Musik und Darstellende Kunst.[1][2]"
Antony Choudens,Antony Choudens (11 February 1849 – 15 July 1902) was a French music publisher and occasional composer.
Federico Chueca,Pío Estanislao Federico Chueca y Robres (5 May 1846 – 20 June 1908) was a Spanish composer of zarzuelas and author of La gran vía along with Joaquín Valverde Durán in 1886. He was one of the most prominent figures of the género chico.
Louis Chollet,"Louis Chollet (5 April 1815 – 21 March 1851) was a French organist and composer for piano, choir and orchestra."
Pavel Chesnokov,"Pavel Grigorievich Chesnokov (Russian: Пáвел Григóрьевич Чеснокóв) (24 October 1877, Voskresensk, Zvenigorodsky Uyezd, Moscow Governorate – 14 March 1944, Moscow, also transliterated Tschesnokoff, Tchesnokov, Tchesnokoff, and Chesnokoff) was an Imperial Russian and Soviet composer, choral conductor and teacher.  He composed over five hundred choral works, over four hundred of which are sacred. Today, he is most known for his piece Salvation is Created as well as works such as Do Not Reject Me in Old Age (solo for basso profondo) and movements from various settings of the Divine Liturgy of St John Chrysostom."
Charles-Alexis Chauvet,Charles-Alexis Chauvet (7 June 1837 – 29 January 1871) was a French organist and composer.
Ernest Chausson,Amédée-Ernest Chausson (French: [ʃosɔ̃]; 20 January 1855 – 10 June 1899) was a French Romantic composer who died just as his career was beginning to flourish.
Frédéric Chopin,"Frédéric François Chopin[n 1] (born Fryderyk Franciszek Chopin;[n 2][n 3] 1 March 1810 – 17 October 1849) was a Polish composer and virtuoso pianist of the Romantic period, who wrote primarily for solo piano. He has maintained worldwide renown as a leading musician of his era, one whose ""poetic genius was based on a professional technique that was without equal in his generation"".[5]"
Tigran Chukhajian,"Tigran Gevorki Chukhajian[1][2] (Armenian: Տիգրան Չուխաճեան,[3] Turkish: Dikran Çuhacıyan; 1837 – March 11, 1898) was an Ottoman Armenian composer and conductor, and the founder of the first opera institution in the Ottoman Empire.[4]"
Mikalojus Konstantinas Čiurlionis,"Mikalojus Konstantinas Čiurlionis (Polish: Mikołaj Konstanty Czurlanis; 22 September [O.S. 10 September] 1875 – 10 April [O.S. 28 March] 1911) was a Lithuanian painter, composer and writer.[1]"
Frederick Scotson Clark,"The Reverend Frederick Scotson Clark (Southwark, 16 November 1840 – London, 5 July 1883) was an English organist and composer. He was founder of the London Organ School and College of Music."
Cesare Ciardi,Cesare Ciardi (28 June 1818 – 13 June 1877) was an Italian flautist and composer.
Catherina Cibbini-Kozeluch,"Catherina  Maria Leopoldina Cibbini-Kozeluch (Katerina Koželuh) (b. 20 February 1785, d. 12 August 1858) was an Austrian pianist and composer of Bohemian ancestry. She was born in Vienna, the daughter of prominent composer, pianist and music publisher Leopold Kozeluch. She studied music with her father and also with Muzio Clementi."
Francesco Cilea,Francesco Cilea[a] (Italian pronunciation: [franˈtʃesko tʃiˈlɛːa]; 23 July 1866 – 20 November 1950) was an Italian composer. Today he is particularly known for his operas L'arlesiana and Adriana Lecouvreur.
Aloÿs Claussmann,"Aloÿs Claussmann (5 July 1850[1] – 7 November 1926) was a French organist, pianist and composer."
Frederic Cliffe,"Frederic Cliffe (2 May 1857 – 19 November 1931) was an English composer, organist and teacher."
Carlo Coccia,Carlo Coccia (14 April 1782 – 13 April 1873) was an Italian opera composer. He was known for the genre of opera semiseria.
Franz Clement,"Franz Joseph Clement (November 17 or 18?, 1780 – November 3, 1842),[1] was an Austrian violinist, pianist, composer, conductor of Vienna's Theater an der Wien, and a friend of Ludwig van Beethoven."
Léonce Cohen,Léonce Cohen (12 February 1829 – 26 February 1901) was a 19th-century French composer.
Muzio Clementi,"Muzio Filippo Vincenzo Francesco Saverio Clementi (23 January 1752 – 10 March 1832) was an Italian composer, virtuoso pianist, pedagogue, conductor, music publisher, editor, and piano manufacturer, who was mostly active in England."
Nicolò Coccon,"Nicolò Coccon (10 August 1826 – 4 August 1903) was an Italian composer, conductor, organist and teacher from Venice."
Henri Cohen (composer),"Henri Cohen (21 April 1806 – 17 May 1880) was a French music theorist, composer, and numismatist of Dutch birth."
Philip Cogan,"Philip Cogan (1750 – 3 February 1833) was an Irish composer, pianist, and conductor."
August Conradi,August Conradi (27 June 1821 – 26 May 1873) was a German organist and composer.
Charles Constantin (conductor),"Titus-Charles Constantin (7 January 1835 – 27 October 1891) was a French conductor, violinist and composer.[1]"
Jean Conte,"Jean Conte (12 May 1830 – 1 April 1888) was a French violinist, composer, and music teacher."
Isabella Colbran,"Isabella Angela Colbran (2 February 1785[1][2] – 7 October 1845) was a Spanish opera singer known in her native country as Isabel Colbrandt. Many sources note her as a dramatic coloratura soprano, or as some would call a soprano sfogato due to her wide range. She collaborated with opera composer Gioachino Rossini in the creation of a number of roles that remain in the repertory to this day; they were married on 22 March 1822. She was the composer of four collections of songs."
Alexis Contant,"Joseph Pierre Alexis Contant (12 November 1858 – 28 November 1918) was a Canadian composer, organist, pianist, and music educator.[1] Trained as a pianist, he became one of the first Canadians to compose large-scale choral and orchestral works, in spite of the difficulty of finding suitable teachers of musical composition.[2][3] His younger years were spent mostly in teaching,[4] family, and work as a church organist, and many of his compositions were written later in life."
Samuel Coleridge-Taylor,Samuel Coleridge-Taylor (15 August 1875 – 1 September 1912) was a British composer and conductor.
Houston Collisson,"William Alexander Houston Collisson (20 May 1865 – 31 January 1920) was an Anglo-Irish priest, writer, organist, pianist, impresario, and composer, mainly remembered for his long collaboration with Percy French."
Laura Sedgwick Collins,"Laura Sedgwick Collins (1859–1927) was an American musician, composer and actress. Laura Sedgwick was born in Poughkeepsie, New York. She graduated from the Lyceum School of Acting in New York City and performed in theaters in New York and Brooklyn. She played the piano and wrote music, including ""The Two Republics"" a march performed at the unveiling of the Statue of Liberty.[1] She belonged to the Music Teachers' National Association.[2]"
Georgi Conus,"Georgi Eduardovich Conus, French: Georges Conus (Russian: Гео́ргий Эдуа́рдович Коню́с, Georgy Eduardovich Konyus; September 30 [O.S. September 18] 1862, Moscow – 29 August 1933, Moscow) was a Russian music theorist and composer of French descent."
E. T. Cook,Edgar Thomas Cook CBE D.Mus. (Cantuar) FRCO FRCM (18 March 1880 – 5 March 1953) was an English organist and composer.
Pietro Antonio Coppola,"Pietro Antonio Coppola (11 December 1793 – 13 November 1876) was an Italian composer and conductor. Born in Castrogiovanni, he was trained by his father and at the Naples Conservatory. He is chiefly known for his many operas, of which his most famous, Nina pazza per amore, premiered at the Teatro Valle in Rome in February 1835. While his works have rarely been performed after the 19th century, during his lifetime they enjoyed success in major opera houses in Italy, France, Portugal, and Spain. As a conductor he was particularly active at the Teatro Nacional de São Carlos in Lisbon.[1] He died in Catania at the age of 82."
Julius Conus,"Julius or Jules Conus  (Russian: Юлий Эдуардович Конюс, Yuly Eduardovich Konyus; 1 February 1869 – 3 January 1942) was a Russian violinist and composer."
Frederick Converse,"Frederick Shepherd Converse (January 5, 1871 – June 8, 1940), was an American composer of classical music, whose works include four operas and five symphonies."
Will Marion Cook,"William Mercer Cook (January 27, 1869 – July 19, 1944), better known as Will Marion Cook, was an American composer, violinist, and choral director.[2] Cook was a student of Antonín Dvořák. In 1919 he took his New York Syncopated Orchestra (Southern Syncopated Orchestra) to England for a command performance for King George V of the United Kingdom, and tour. Cook is probably best known for his popular songs and landmark Broadway musicals, featuring African-American creators, producers, and casts, such as Clorindy, or The Origin of the Cake Walk (1898) and In Dahomey (1903). The latter toured for four years, including in the United Kingdom and United States."
Robert Cooke (organist),"Robert Cooke (1768 – 22/23 August 1814) was an English organist and composer, from 1802 organist of Westminster Abbey."
Thomas Simpson Cooke,"Thomas Simpson Cooke (""Tom Cooke"") (July 1782 – 26 February 1848) was an Irish composer, conductor, singer, theatre musician and music director – an influential figure in early 19th-century opera in London."
Frederick Corder,Frederick Corder (26 January 1852 – 21 August 1932) was an English composer and music teacher.[1]
Pietro Abbà Cornaglia,"Pietro Abbà Cornaglia (20 March 1851 – 2 May 1894) was an Italian organist, concert pianist, and composer."
Peter Cornelius,"Carl August Peter Cornelius (24 December 1824 – 26 October 1874) was a German composer, writer about music, poet and translator."
Napoléon Coste,Claude Antoine Jean Georges Napoléon Coste (27 June 1805 – 14 January 1883) was a French classical guitarist and composer.
Theodora Cormontan,"Theodora Cormontan (9 June 1840 – 26 October 1922) was a Norwegian American pianist, music publisher and composer, one of the first Norwegian women  to have her classical compositions published and widely performed, and the first woman to start a music publishing business in Norway."
Jules Cottin,"Jules Cottin (1868–1922) was a mandolin virtuoso who played in Paris from the 1890s. A pupil of the guitarist Jacques Bosch,[1] he became part of the mandolin revival, which revitalized the instrument after its long decline in the 19th century. He was part of a group of virtuosi mandolinists, including Giuseppe Silvestri, Ferdinando de Cristofaro, and Jean Pietrapertosa, who played before enthusiastic Paris audiences. He was also a composer and author, writing the 1891 mandolin method book, Celèbre Méthode Complète Theoretique et Pratique de Mandoline."
Edmond de Coussemaker,"Charles Edmond Henri de Coussemaker (19 April 1805 – 10 January 1876) was a French musicologist and ethnologist focusing mainly on the cultural heritage of French Flanders. With Michiel de Swaen and Maria Petyt, he was one of the most eminent defenders of the Dutch language in France."
Frederic Hymen Cowen,"Sir Frederic Hymen Cowen (29 January 1852 – 6 October 1935), was an English composer, conductor and pianist."
Johann Baptist Cramer,"Johann (sometimes John) Baptist Cramer (24 February 1771 – 16 April 1858) was an English pianist, composer and music publisher of German origin. He was the son of Wilhelm Cramer, a famous London violinist and conductor, one of a numerous family who were identified with the progress of music during the 18th and 19th centuries."
William Crotch,"William Crotch (5 July 1775 – 29 December 1847) was an English composer and organist. According to Nicholas Temperley he was ""a child prodigy without parallel in the history of music"", and was certainly the most distinguished English musician in his day.[1]"
Richard Cudmore,"Richard Cudmore (1787 – 29 December 1840) was an English musician. Primarily a violinist, he also played cello and piano, and was a composer."
Bernhard Crusell,"Bernhard Henrik Crusell (15 October 1775 – 28 July 1838)[1] was a Swedish-Finnish clarinetist, composer and translator,[2] ""the most significant and internationally best-known Finnish-born classical composer and indeed, — the outstanding Finnish composer before Sibelius"".[3]"
Jean Cras,"Jean Émile Paul Cras (French: [ʒɑ̃ kʁaz];[1] 22 May 1879 – 14 September 1932) was a 20th-century French composer and career naval officer. His musical compositions were inspired by his native Brittany, his travels to Africa, and most of all, by his sea voyages. As a naval commander he served with distinction in the Adriatic Campaign during World War I."
Ferdinando de Cristofaro,"Ferdinando de Cristofaro (1846 – 18 April 1890) was one of the most celebrated mandolin virtuosi of the late 19th Century. He was also a classical pianist, teacher, author and composer, who performed at the chief courts of Europe, and received the royal appointment of mandolinist to the King of Italy.[1]"
John Croisier,John Henri Croisier (? – 1915) was a French composer and playwright.[1]
Frederick Crouch,Frederick William Nicholls Crouch (30 July 1808 – 18 August 1896) was an English composer and cellist.
César Cui,"César Antonovich Cui (Russian: Це́зарь Анто́нович Кюи́, tr. .mw-parser-output .noitalic{font-style:normal}Tsézar Antónovich Kyuí[a], IPA: [ˈt͡sjezərʲ ɐnˈtonəvʲɪt͡ɕ kʲʊˈi] (listen); French: Cesarius Benjaminus Cui; 18 January [O.S. 6 January] 1835 – 13 March 1918)[2] was a Russian composer and music critic, member of the Belyayev circle and The Five – a group of composers combined by the idea of creating a specifically Russian type of music. As an officer of the Imperial Russian Army he rose to the rank of Engineer-General (equivalent to full General), taught fortifications in Russian military academies and wrote a number of monographs on the subject."
Friedrich Curschmann,"Karl Friedrich Curschmann (June 21, 1805 – August 24, 1841) was a German song composer and singer."
Benjamin Cutter,"Benjamin Cutter (Woburn, Massachusetts September 6, 1857 – Boston May 10, 1910) was an American violinist and composer. He studied at the Stuttgart Conservatory in Germany, was later a member of the Boston Symphony Orchestra, then taught at the New England Conservatory of Music. His compositional output was mainly chamber music, but he wrote some cantatas and church music as well. He published several pedagogical books on violin playing and music theory."
Walter Damrosch,"Walter Johannes Damrosch (January 30, 1862 – December 22, 1950) was a German-born American conductor and composer.[1] He is best remembered today as long-time director of the New York Symphony Orchestra and for conducting the world premiere performances of George Gershwin's Piano Concerto in F (1925) and An American in Paris (1928). Damrosch was also instrumental in the founding of Carnegie Hall.[2] He also conducted the first performance of Rachmaninoff's third piano concerto with Rachmaninoff himself as a soloist."
Carl Czerny,"Carl Czerny (German: [ˈtʃɛʁniː]; 21 February 1791 – 15 July 1857)[2] was an Austrian composer, teacher, and pianist of Czech origin whose music spanned the late Classical and early Romantic eras. His vast musical production amounted to over a thousand works and his books of studies for the piano are still widely used in piano teaching. He was one of Ludwig van Beethoven's best-known pupils."
Alfredo D'Ambrosio,"Alfredo d'Ambrosio (13 June 1871 – 29 December/31 December 1914) was an Italian composer and violinist. He studied under Enrico Bossi at the Conservatory San Pietro a Majella in Naples, and later with Pablo de Sarasate in Madrid and August Wilhelmj in London. He then settled in Nice, and devoted himself to his compositions and his work as a teacher.[1] His cousin Luigi d'Ambrosio was also a violinist and later teacher of Salvatore Accardo. Alfredo D'Ambrosio died in Paris, aged 43."
Leopold Damrosch,"Leopold Damrosch (October 22, 1832 – February 15, 1885) was a German American orchestral conductor and composer.[1]"
James Cooksey Culwick,"James Cooksey Culwick (28 April 1845 – 5 October 1907) was an English musician who is most well known for being organist of the Chapel Royal and founding the Orpheus Choir, both in Dublin, Ireland.[1] The Culwick Choral Society is both named in honour of Culwick and traces its lineage to the Orpheus Choir.[2]"
Alessandro Curmi,"Alessandro Curmi (17 October 1801 – April 1857) was a Maltese composer and pianist. Born in Valletta, he studied privately with Pietro Paolo Bugeja and then under Niccolò Antonio Zingarelli and Giacomo Tritto at the San Pietro a Maiella Conservatory in Naples from 1821 to 1827. He later became a member of Bologna's Accademia Filarmonica."
Adolphe Danhauser,"Adolphe-Léopold Danhauser (26 February 1835 – 9 June 1896) was a French musician, educator, music theorist and composer."
Franz Danzi,"Franz Ignaz Danzi (15 June 1763 – 13 April 1826) was a German cellist, composer and conductor, the son of the Italian cellist Innocenz Danzi (1730–1798) and brother of the noted singer Franzeska Danzi. Danzi lived at a significant time in the history of European music. His career, spanning the transition from the late Classical to the early Romantic styles, coincided with the origin of much of the music that lives in our concert halls and is familiar to contemporary classical-music audiences. As a young man he knew Wolfgang Amadeus Mozart, whom he revered; he was a contemporary of Ludwig van Beethoven, about whom he — like many of his generation — had strong but mixed feelings; and he was a mentor for the young Carl Maria von Weber, whose music he respected and promoted."
Alexander Dargomyzhsky,"Alexander Sergeyevich Dargomyzhsky (Russian: Александр Сергеевич Даргомыжский, tr. Aleksandr Sergeyevich Dargomyzhskiy[a], IPA: [ɐlʲɪkˈsandr sʲɪrˈɡʲe(j)ɪvʲɪdʑ dərɡɐˈmɨʂskʲɪj] (listen); 14 February [O.S. 2 February] 1813 – 17 January [O.S. 5 January] 1869) was a 19th-century Russian composer. He bridged the gap in Russian opera composition between Mikhail Glinka and the later generation of The Five and Pyotr Ilyich Tchaikovsky."
Henry Darondeau,"Henry Benoît François Darondeau (born as ""d'Arondeau"") (28 February 1779 – 30 July 1865) was a 19th-century French composer and piano teacher."
Louis François Dauprat,"Louis François Dauprat (24 May 1781 – 16 July 1868) was a French horn player, composer and professor at the Conservatoire de Paris. He played and taught natural horn only, but was also very interested in the first experiments with keyed horns. He successfully ensured the development of a distinctively French school of playing, marginally influenced by the invention of the valve horn.[1]"
Adam Darr,"Adam Darr (29 September 1811 – 2 October 1866)[1] was a German classical guitarist, singer, zither player and composer."
Charles Dancla,"(Jean Baptiste) Charles Dancla (19 December 1817 – 10 October 1907) was a French violinist, composer and teacher."
Joseph Daussoigne-Méhul,"Joseph Daussoigne-Méhul (10 June 1790 – 10 March 1875) was a French composer and music educator. He served as the first director of the Royal Conservatory of Liège from 1826–1862; having been appointed to that post by William I of the Netherlands. In addition to his duties as director, he also taught courses in harmony and composition at the school. Among his notable pupils were Adolphe Samuel, César Franck, and Jean-Théodore Radoux, the latter of whom succeeded him as conservatory director. In 1859, he was made a Commander of the Order of Leopold.[1]"
Alfred De Sève,"Alfred De Sève (May or June 1858 – 25 November 1927) was a Canadian violinist, composer, and music educator. His compositional output includes works for violin and piano, solo piano, and orchestra; many of which were published by Arthur P. Schmidt and Charles H. Ditson.[1]"
Ferdinand David (musician),Ferdinand Ernst Victor Carl David (German: [ˈdaːvɪt]; 19 June 1810 – 18 July 1873)[1] was a German virtuoso violinist and composer.
Karl Davydov,"Karl Yulievich Davydov (Russian: Карл Юльевич Давидов; 15 March [O.S. 3 March] 1838 – 26 February [O.S. 14 February] 1889) was a Russian cellist of great renown during his time, and described by Pyotr Ilyich Tchaikovsky as the ""czar of cellists"". He was also a composer, mainly for the cello. His name also appears in various different spellings: Davydov, Davidoff,  Davidov, and more, with his first name sometimes written as Charles or Carl."
William Dayas,"William Humphreys Dayas (12 September 1863,[1] New York – 3 May 1903, Manchester) was an American pianist, pedagogue and composer, one of the last pupils of Franz Liszt. Dayas lost his parents at an early age. He studied organ and composition and moved to Germany in 1881. After studies with Liszt, he taught at European conservatoires, including Helsinki (1890–1893), where his daughter, the pianist and pedagogue Karin Dayas (1892–1971) was born. After that he worked as a piano teacher in Germany, New York and finally as a professor at Royal Manchester College of Music. He composed piano pieces."
George Savin De Chanéet,"George Savin De Chaneet was a Hungarian-Australian composer, conductor, choir master, organist and music teacher.[1] He was born in Hamburg,[2] only son of Frederich de Chanéet.[3] He arrived in Melbourne on 22 April 1884, where he spent his active life, seeking naturalisation in 1899.[4]"
Delfina de la Cruz,"Delfina de la Cruz Zañartu (24 February 1837 Concepción, Chile – 8 May 1905 Concepción, Chile) was a Chilean pianist[1] and First Lady of Chile. She was the only child of General José María de la Cruz and his wife Josefa Zañartu, and granddaughter of Chilean revolutionary Luis de la Cruz."
Nicola De Giosa,"Nicola De Giosa (3 May 1819 – 7 July 1885) was an Italian composer and conductor active in Naples. He composed numerous operas, the most successful of which, Don Checco and Napoli di carnevale, were in the  Neapolitan opera buffa genre. His other works included sacred music and art songs. His songs were particularly popular, bringing him fame as a salon composer both in Italy and abroad. De Giosa died in Bari, the city of his birth, at the age of 66.[1]"
Félicien David,Félicien-César David (13 April 1810 – 29 August 1876) was a French composer.
Stepan Degtyarev,"Stepan Anikiyevich Degtyarev (Степан Аникиевич Дегтярёв) (1766 – 5 May 1813), was a renowned Russian composer of the late 18th century. He was most famous for his nationalistic Russian Choral Music."
Reginald De Koven,"Henry Louis Reginald De Koven (April 3, 1859 – January 16, 1920) was an American music critic and prolific composer, particularly of comic operas."
Camille Decreus,"Camille Léo Ernest Decreus (sometimes spelt as ""Camille DeCreus"" or ""Camille de Creus"") (23 September 1876 – 26 September 1939) was a French composer and pianist."
Serafino Amedeo De Ferrari,"Serafino Amedeo De Ferrari (6 May 1824 – 27 March 1885) was an Italian composer, conductor, organist, and pianist. He is best known for his operas, of which his most popular were Pipelè (1855) and Il Menestrello (1859)."
Louis Deffès,Pierre Louis Deffès (25 July 1819 – 28 May 1900) was a 19th-century French composer. He excelled as a composer of both operas and large-scale sacred music.
Édouard Deldevez,"Édouard Marie Ernest Deldevez (31 May 1817 – 6 November 1897) was a French violinist, conductor at important Parisian musical institutions, composer, and music teacher.[1]"
Maurice Delage,Maurice Charles Delage[1] (13 November 1879 – 19 or 21 September 1961)[1] was a French composer and pianist.
Claude Debussy,
Léo Delibes,"Clément Philibert Léo Delibes (French: [klemɑ̃ filibɛʁ leo dəlib]; 21 February 1836 – 16 January 1891) was a French Romantic composer, best known for his ballets and operas. His works include the ballets Coppélia (1870) and Sylvia (1876) and the opera Lakmé (1883), which includes the well-known ""Flower Duet""."
Charles Delioux,"Jean-Charles Delioux (de) Savignac (17 April 1825 – 12 November 1915) was a French composer, a pupil of Halévy and potentially Chopin, who was quite popular in the Paris salons of the nineteenth century."
Giuseppe Dell'Orefice,"Giuseppe Dell'Orefice (22 August 1848 – 3 January 1889) born in Fara Filiorum Petri, province of Chieti, was an Italian composer, and conductor best-remembered for his opera Romilda de'Bardi.[1] He died in Naples."
Gisella Delle Grazie,"Gisella Delle Grazie (born 1 June 1868; fl. 1894–95) was an Italian composer born in Trieste. Delle Grazie composed two operas, Atala (I Pellirossa), premiered at the Teatro Balbo in Turin in 1894, and La trecciaiuola di Firenze, premiered at the Teatro Filodrammatico in Trieste in 1895.[1]"
Frederick Delius,"Frederick Theodore Albert Delius CH (/ˈdiːliəs/ 29 January 1862 – 10 June 1934), originally Fritz Delius, was an English composer. Born in Bradford in the north of England to a prosperous mercantile family, he resisted attempts to recruit him to commerce. He was sent to Florida in the United States in 1884 to manage an orange plantation. He soon neglected his managerial duties and in 1886 returned to Europe."
Eva Dell'Acqua,Eva Dell'Acqua (28 January 1856 – 12 February 1930) was a Belgian singer and composer of Italian ancestry.
Sophia Dellaporta,"Sophia Dellaporta (fl. after 1850) was a Greek composer. She published a musical titled Recueil in Leipzig in 1877, including eight songs. The collection won a prize at the Third Greek Composers' Competition conducted in Athens at the 1875 Olympic Exhibition.[1]"
Rudolf Dellinger,"Rudolf Dellinger (8 July 1857 – 24 September, 1910) was a German Bohemian composer and Kapellmeister.[1] He almost exclusively composed operettas and was considered to be among the most outstanding composers of his time."
Josef Dessauer,"Josef Dessauer (28 May 1798 in Prague – 8 July 1876 in Mödling, near Vienna), was an Austrian-born composer who wrote many popular songs, and also some less successful operas."
Guillaume Despréaux,Guillaume Despréaux (20 September 1802 – 14 June 1865) was a French composer who won the Prix de Rome in 1828.
Felix Otto Dessoff,Felix Otto Dessoff (14 January 1835 – 28 October 1892) was a German conductor and composer.
Anton Diabelli,"Anton (or Antonio) Diabelli (5 September 1781 – 8 April 1858) was an Austrian music publisher, editor and composer. Best known in his time as a publisher, he is most familiar today as the composer of the waltz on which Ludwig van Beethoven wrote his set of thirty-three Diabelli Variations.[1]"
Jules Demersseman,Jules Auguste Demersseman (9 January 1833 – 1 December 1866) was a French flautist and composer.
Ellen Dickson,"Ellen (Elizabeth) Dickson (1819 – 4 July 1878), also known as Dolores, was an English ballad composer. She was born in Woolwich, England southeast of London. Ellen was the third daughter of General Sir Alexander Dickson. She had been physically disabled since a young age, and her chosen Latin pseudonym, Dolores, which means sorrows and bodily pains, reflects that aspect of her personal life.[1] Ellen inherited her father’s talents for mathematics and his analytical intellect.[2]"
Luigi Denza,Luigi Denza (24 February 1846 – 27 January 1922) was an Italian composer.[1]
Adolphe Deslandres,Adolphe Édouard Marie Deslandres (22 January 1840 – 30 July 1911) was a French composer and organist.
Louis Diémer,"Louis Joseph Diémer (14 February 1843 – 21 December 1919) was a French pianist and composer. He was the founder of the Société des Instruments Anciens in the 1890s, and also gave recitals on the harpsichord. His output as a composer was extensive, including a piano concerto and a quantity of salon pieces."
Theodor Döhler,"Baron Theodor  Döhler (20 April 1814 – 21 February 1856) was a German composer and a notable piano virtuoso of the Romantic period. He studied under Julius Benedict, Carl Czerny, and Simon Sechter.[1]"
Jakob Dont,"Jakob Dont (March 2, 1815 – November 17, 1888) was an Austrian violinist, composer, and teacher."
Pierre-Louis Dietsch,"Pierre-Louis-Philippe Dietsch (also Dietch, Dietzch, Dietz) (17 March 1808 – 20 February 1865) was a French composer and conductor,[1] perhaps best remembered for the much anthologized Ave Maria 'by' Jacques Arcadelt, which he loosely arranged from that composer's three part madrigal Nous voyons que les hommes.[1][2]"
Yeghia Dndesian,"Yeghia Dndesian (born Istanbul, Ottoman Turkey 1834 - died Constantinople, Ottoman Turkey 1881) was an Armenian musician and musical reformer.[1]"
Ignacy Feliks Dobrzyński,"Ignacy Feliks Dobrzyński (15 February 1807 – 9 October 1867) was a Polish pianist and composer. He was the son of Ignacy Dobrzyński, the brother of Edward Dobrzyński, and the father of Bronisław Dobrzyński."
Ernst von Dohnányi,"Ernst von Dohnányi (Hungarian: Dohnányi Ernő, [ˈɛrnøː ˈdohnaːɲi]; 27 July 1877 – 9 February 1960) was a Hungarian composer, pianist and conductor. He used a German form of his name on most published compositions.[1]"
Gaetano Donizetti,"Domenico Gaetano Maria Donizetti[a] (29 November 1797 – 8 April 1848) was an Italian composer, best known for his almost 70 operas. Along with Gioachino Rossini and Vincenzo Bellini, he was a leading composer of the bel canto opera style during the first half of the nineteenth century and a probable influence on other composers such as Giuseppe Verdi.[4] Donizetti was born in Bergamo in Lombardy. At an early age he was taken up by Simon Mayr[5] who enrolled him with a full scholarship in a school which he had set up. There he received detailed musical training. Mayr was instrumental in obtaining a place for Donizetti at the Bologna Academy, where, at the age of 19,[6] he wrote his first one-act opera, the comedy Il Pigmalione, which may never have been performed during his lifetime.[7]"
Franz Doppler,"Albert Franz Doppler (16 October 1821 – 27 July 1883), was a flute virtuoso and a composer best known for his flute music. He also wrote one German and several Hungarian operas for Budapest, all produced with great success. His ballet music was popular during his lifetime."
Gustave Doret,Gustave Doret (20 September 1866 – 19 April 1943) was a Swiss composer and conductor.
Árpád Doppler,Árpád Doppler (5 June 1857 – 13 August 1927) was a Hungarian-German composer.
Karl Doppler,"Karl Doppler (12 September 1825, Lemberg – 10 March 1900, Stuttgart) was a Hungarian flute virtuoso, conductor, music director, composer. He was the younger brother of the composer Franz Doppler and father of the composer Árpád Doppler."
Heinrich Dorn,"Heinrich Ludwig Egmont Dorn (14 November 1800[1] or 1804-10 January 1892) was a German conductor, composer, teacher, and journalist. He was born in Königsberg, where he studied piano, singing, and composition. Later, he studied in Berlin with Ludwig Berger, Bernhard Klein, and Carl Friedrich Zelter. His first opera, Rolands Knappen, was produced in 1826, and was a success. Around this time, he became co-editor of the Berliner allgemeine Musikzeitung."
Hermann Dostal,Hermann Dostal (1874 in Mährisch-Ostrau (today Moravská Ostrava) – 20 December 1930 in Vienna) was an Austrian composer and arranger.[1]
Friedrich Dotzauer,Justus Johann Friedrich Dotzauer (20 January 1783 – 6 March 1860) was a German cellist and composer.
František Doubravský,"František Doubravský (7 February 1790, Lomnice nad Popelkou – 28 April 1867, Lomnice nad Popelkou) was a Czech composer, choirmaster and organist."
John Thomas Douglass,"John Thomas Douglass (1847–1886) was an American composer, virtuoso violinist, conductor and teacher.[1] He is best known for composing Virginia's Ball (1868), which is generally regarded as the first opera written by a Black American composer. The work is now lost, and his only extant composition is The Pilgrim: Grand Overture (1878) for piano. His biography from James Monroe Trotter's Music and Some Highly Musical People (1878)—in which The Pilgrim survives—reports that he wrote many now lost pieces for piano, orchestra and particularly guitar, which he was known to play."
Victor Dourlen,"Victor Charles Paul Dourlen (3 November 1780 – 8 January 1864) was a French composer and music teacher at the Conservatoire de Paris during the first half of the nineteenth century. He is primarily known as a theorist on account of his treatises on harmony, based on the methods of Charles Simon Catel,[1] which were widely used as reference works, especially his Traité d'harmonie (c. 1838), the  Traité d'accompagnement pratique (c. 1840), and his Méthode élémentaire pour le pianoforte (c. 1820)."
Felix Draeseke,"Felix August Bernhard Draeseke (7 October 1835 – 26 February 1913) was a composer of the ""New German School"" admiring Franz Liszt and Richard Wagner. He wrote compositions in most forms including eight operas and stage works, four symphonies, and much vocal and chamber music.[1]"
